Wed Aug 08 11:49:21 2007
,,,,,,,,,,,,,,,,,,,,
hapticInformation,,,,,,,,,World Information,,,,,,,,,,,
fx,fy,fz,vx,vy,vz,px,py,pz,fx,fy,fz,vx,vy,vz,px,py,py(mm),pz,ball,time
0.054207,0.326705,-0.158177,0.000000,0.000000,-0.000000,0.230369,39.407829,18.395748,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.028450,-0.024996,2,608889921
0.054287,0.343128,-0.144060,-0.005888,-5.596912,-4.772979,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.028450,-0.024996,2,608889937
0.054287,0.343128,-0.144060,-0.010166,-9.663308,-8.240751,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.028450,-0.024996,2,608889937
0.054348,0.343001,-0.144042,-0.007386,-7.020806,-5.987258,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.028450,-0.024996,2,608889937
0.054410,0.342875,-0.144023,-0.005366,-5.100915,-4.349998,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054472,0.342748,-0.144005,-0.003899,-3.706033,-3.160460,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054534,0.342622,-0.143986,-0.002833,-2.692591,-2.296209,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054596,0.342495,-0.143968,-0.002058,-1.956283,-1.668294,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054657,0.342369,-0.143950,-0.001495,-1.421323,-1.212087,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054719,0.342242,-0.143931,-0.001086,-1.032652,-0.880633,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054781,0.342116,-0.143913,-0.000789,-0.750266,-0.639817,0.230325,39.366474,18.360500,-8.240066,3319.618571,-7.448608,-1.830641,3.812020,-5.297753,-0.056424,1.145678,5.027965,-0.024996,2,608889937
0.054843,0.341989,-0.143894,-0.000573,-0.545100,-0.464855,0.230325,39.366474,18.360500,299.881606,20541.140818,109.458475,-1.826606,3.802614,-5.290695,-0.056684,1.144546,5.027965,-0.025039,2,608889937
0.054904,0.341863,-0.143876,-0.000417,-0.396038,-0.337737,0.230325,39.366474,18.360500,36.262116,4849.945365,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889937
0.054904,0.341863,-0.143876,-0.000303,-0.287739,-0.245380,0.230325,39.366474,18.360500,36.262116,4849.945365,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889937
0.054904,0.341863,-0.143876,-0.000220,-0.209055,-0.178279,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889937
0.054904,0.341863,-0.143876,-0.000160,-0.151887,-0.129527,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889937
0.054904,0.341863,-0.143876,-0.000116,-0.110352,-0.094107,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000084,-0.080176,-0.068373,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000061,-0.058251,-0.049676,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.027965,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000045,-0.042322,-0.036092,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.026334,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000032,-0.030749,-0.026222,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.026334,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000024,-0.022340,-0.019051,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.026334,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000017,-0.016231,-0.013842,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.026334,-0.025087,2,608889953
0.054904,0.341863,-0.143876,-0.000017,-0.016231,-0.013842,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.026334,-0.025087,2,608889953
0.054993,0.341438,-0.143851,-0.000017,-0.016231,-0.013842,0.230325,39.366474,18.360500,36.262116,4989.793998,-6.287938,-1.810492,3.022582,-5.297368,-0.056763,1.144050,5.026334,-0.025087,2,608889953
0.055081,0.341013,-0.143826,-0.000012,-0.011793,-0.010057,0.230325,39.366474,18.360500,113.047626,4290.399234,52.389875,-1.697445,2.161039,-5.244978,-0.057067,1.141021,5.026334,-0.025135,2,608889953
0.055170,0.340588,-0.143801,-0.000009,-0.008568,-0.007307,0.230325,39.366474,18.360500,103.930237,5614.913683,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.026334,-0.025177,2,608889953
0.055276,0.356699,-0.129671,-0.005926,-5.628310,-4.803717,0.230282,39.325134,18.325237,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.026334,-0.025177,2,608889953
0.055364,0.356274,-0.129646,-0.010225,-9.711294,-8.288510,0.230282,39.325134,18.325237,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.026334,-0.025177,2,608889953
0.086157,0.355849,-0.129652,-10.452207,-7.055670,-6.013368,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.026334,-0.025177,2,608889953
0.086246,0.355424,-0.129627,-10.452207,-7.055670,-6.013368,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.026334,-0.025177,2,608889953
0.086334,0.354999,-0.129603,-10.452207,-7.055670,-6.013368,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889953
0.086423,0.354574,-0.129578,-18.041229,-5.126246,-4.360377,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889968
0.086511,0.354149,-0.129553,-18.041229,-5.126246,-4.360377,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889968
0.086511,0.354149,-0.129553,-13.107723,-3.724437,-3.168000,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889968
0.086605,0.353261,-0.129532,-9.523322,-2.705962,-2.301687,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889968
0.086699,0.352372,-0.129511,-6.919100,-1.965997,-1.672274,0.153521,39.325134,18.325315,103.930237,5613.648546,15.128252,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889968
0.086793,0.351484,-0.129490,-5.027022,-1.428381,-1.214979,0.153521,39.325134,18.325315,179.098839,4912.630914,80.884922,-1.702003,1.495558,-5.263609,-0.057122,1.140634,5.022925,-0.025177,2,608889968
0.086898,0.367125,-0.115351,-3.655853,-7.011002,-5.985773,0.153492,39.283810,18.290022,158.981195,5188.801043,52.946026,-1.532963,-0.126065,-5.196693,-0.057490,1.135617,5.022925,-0.025278,2,608889968
0.086992,0.366237,-0.115330,-2.660329,-11.067375,-9.451535,0.153492,39.283810,18.290022,158.981195,5315.914080,52.946026,-1.532963,-0.126065,-5.196693,-0.057490,1.135617,5.022925,-0.025278,2,608889968
0.087086,0.365348,-0.115309,-1.932843,-8.040921,-6.866944,0.153492,39.283810,18.290022,158.981195,5315.914080,52.946026,-1.532963,-0.126065,-5.196693,-0.057490,1.135617,5.022925,-0.025278,2,608889968
0.087180,0.364460,-0.115288,-1.404293,-5.842072,-4.989128,0.153492,39.283810,18.290022,158.981195,5315.914080,52.946026,-1.532963,-0.126065,-5.196693,-0.057490,1.135617,5.022925,-0.025278,2,608889968
0.087274,0.363571,-0.115267,-1.020279,-4.244515,-3.624815,0.153492,39.283810,18.290022,158.981195,5315.914080,52.946026,-1.532963,-0.126065,-5.196693,-0.057490,1.135617,5.022925,-0.025278,2,608889968
0.087368,0.362683,-0.115246,-0.741276,-3.083822,-2.633583,0.153492,39.283810,18.290022,158.981195,5315.914080,52.946026,-1.532963,-0.126065,-5.196693,-0.057490,1.135617,5.017904,-0.025278,2,608889968
